[Thu Sep 06 11:38:11.622218 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.622227 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:34.035150 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9, referer: http://localhost/
[Thu Sep 06 11:38:34.035230 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20, referer: http://localhost/
[Thu Sep 06 11:38:34.035281 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30, referer: http://localhost/
[Thu Sep 06 11:38:34.035291 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44, referer: http://localhost/
[Thu Sep 06 11:38:35.793974 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9, referer: http://localhost/
[Thu Sep 06 11:38:35.794042 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20, referer: http://localhost/
[Thu Sep 06 11:38:35.794064 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30, referer: http://localhost/
[Thu Sep 06 11:38:35.794082 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44, referer: http://localhost/
[Thu Sep 06 11:38:36.230147 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9, referer: http://localhost/
[Thu Sep 06 11:38:36.230183 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20, referer: http://localhost/
[Thu Sep 06 11:38:36.230192 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30, referer: http://localhost/
[Thu Sep 06 11:38:36.230201 2018] [:error] [pid 3735] [client 127.0.0.1:60792] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44, referer: http://localhost/
[Thu Sep 06 11:38:48.499072 2018] [:error] [pid 3783] [client 127.0.0.1:60796] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 8, referer: http://localhost/
[Thu Sep 06 11:38:48.499153 2018] [:error] [pid 3783] [client 127.0.0.1:60796] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 19, referer: http://localhost/
[Thu Sep 06 11:38:48.499195 2018] [:error] [pid 3783] [client 127.0.0.1:60796] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 29, referer: http://localhost/
[Thu Sep 06 11:38:48.499209 2018] [:error] [pid 3783] [client 127.0.0.1:60796] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 43, referer: http://localhost/
[Thu Sep 06 11:38:49.218860 2018] [:error] [pid 3783] [client 127.0.0.1:60796] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 8, referer: http://localhost/
[Thu Sep 06 11:38:49.218933 2018] [:error] [pid 3783] [client 127.0.0.1:60796] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 19, referer: http://localhost/
[Thu Sep 06 11:38:49.218966 2018] [:error] [pid 3783] [client 127.0.0.1:60796] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 29, referer: http://localhost/
